lead_id,data_hora,funil,canal_origem,vendedor_id,turno_contato,turno_preferido,idade,escolaridade,renda_faixa,tempo_preenchimento_seg,objetivo_texto,hora_dia,dia_semana,mes,taxa_conv_funil,taxa_conv_vendedor,taxa_conv_vendedor_funil,volume_funil_dia,convertido,processing_timestamp
3683,2024-01-08T11:46:06.000Z,organico,google,v_20,noite,tarde,40,medio,ate_2k,78,ganhar confiança,11,2,1,0.2067366276849208,0.1817211948790896,0.2337962962962963,7968,0,2026-03-17T17:16:34.564Z
14397,2024-01-29T11:25:39.000Z,organico,indicacao,v_70,noite,noite,33,medio,5k_10k,69,evoluir profissionalmente,11,2,1,0.2067366276849208,0.16926898509581265,0.19230769230769232,7968,1,2026-03-17T17:16:34.564Z
18714,2024-02-07T21:48:20.000Z,google_ads,tiktok,v_43,manha,manha,40,superior,ate_2k,148,ganhar confiança,21,4,2,0.165126861555433,0.17597765363128492,0.16261682242990655,10341,0,2026-03-17T17:16:34.564Z
22811,2024-02-15T13:49:46.000Z,youtube_ads,tiktok,v_125,manha,noite,19,superior,ate_2k,72,crescimento pessoal,13,5,2,0.1727831670993305,0.17618384401114207,0.17983193277310924,10502,0,2026-03-17T17:16:34.564Z
26259,2024-02-22T22:12:57.000Z,google_ads,instagram,v_87,tarde,manha,27,medio,ate_2k,24,mudar de vida,22,5,2,0.165126861555433,0.17906637490882568,0.16310679611650486,10373,0,2026-03-17T17:16:34.564Z
29571,2024-02-29T14:46:42.000Z,indicacao,blog,v_69,noite,noite,40,superior,5k_10k,57,organizar rotina,14,5,2,0.2438997722095672,0.17345834835917778,0.20956719817767655,7749,1,2026-03-17T17:16:34.564Z
31832,2024-03-04T10:50:02.000Z,instagram_ads,youtube,v_93,noite,noite,34,medio,5k_10k,122,evoluir profissionalmente,10,2,3,0.1454510563637693,0.19523637675929267,0.1705607476635514,15682,1,2026-03-17T17:16:34.564Z
33338,2024-03-07T10:57:55.000Z,youtube_ads,tiktok,v_13,manha,manha,44,tecnico,10k+,148,crescimento pessoal,10,5,3,0.1727831670993305,0.1813323833273958,0.17540983606557378,10502,0,2026-03-17T17:16:34.564Z
39959,2024-03-20T08:21:21.000Z,indicacao,google,v_55,tarde,noite,30,superior,2k_5k,145,evoluir profissionalmente,8,4,3,0.2438997722095672,0.17476072314781993,0.2422062350119904,7773,0,2026-03-17T17:16:34.564Z
41014,2024-03-23T09:50:12.000Z,youtube_ads,tiktok,v_7,manha,tarde,18,pos,2k_5k,40,crescimento pessoal,9,7,3,0.1727831670993305,0.176597272074659,0.17028985507246377,10389,0,2026-03-17T17:16:34.564Z
44572,2024-03-30T18:51:28.000Z,youtube_ads,tiktok,v_58,noite,manha,33,superior,ate_2k,98,ganhar confiança,18,7,3,0.1727831670993305,0.16472663139329807,0.14388489208633093,10389,0,2026-03-17T17:16:34.564Z
44725,2024-03-30T08:51:16.000Z,organico,tiktok,v_104,manha,noite,23,medio,ate_2k,68,mais disciplina,8,7,3,0.2067366276849208,0.18248429867411026,0.21212121212121213,7794,0,2026-03-17T17:16:34.564Z
50097,2024-04-10T13:14:53.000Z,instagram_ads,youtube,v_44,noite,tarde,30,pos,ate_2k,78,evoluir profissionalmente,13,4,4,0.1454510563637693,0.17033993276055287,0.1469135802469136,15644,0,2026-03-17T17:16:34.564Z
57092,2024-04-24T18:38:17.000Z,google_ads,indicacao,v_95,noite,noite,37,superior,2k_5k,71,evoluir profissionalmente,18,4,4,0.165126861555433,0.17764746464298034,0.17876106194690267,10341,0,2026-03-17T17:16:34.564Z
60198,2024-04-30T12:03:41.000Z,organico,blog,v_91,noite,manha,25,superior,ate_2k,154,ganhar confiança,12,3,4,0.2067366276849208,0.18396226415094338,0.22682926829268293,7816,0,2026-03-17T17:16:34.564Z
65244,2024-05-10T21:53:23.000Z,organico,google,v_47,noite,tarde,37,tecnico,2k_5k,137,mudar de vida,21,6,5,0.2067366276849208,0.196459562651857,0.19616204690831557,7788,0,2026-03-17T17:16:34.564Z
65338,2024-05-10T19:22:52.000Z,instagram_ads,tiktok,v_55,manha,tarde,21,superior,5k_10k,36,organizar rotina,19,6,5,0.1454510563637693,0.17476072314781993,0.12287104622871046,15663,1,2026-03-17T17:16:34.564Z
70334,2024-05-20T15:51:31.000Z,youtube_ads,google,v_42,manha,noite,37,superior,2k_5k,159,evoluir profissionalmente,15,2,5,0.1727831670993305,0.18095572733661278,0.16723549488054607,10418,1,2026-03-17T17:16:34.564Z
72416,2024-05-24T21:15:56.000Z,instagram_ads,blog,v_59,manha,noite,23,superior,2k_5k,60,organizar rotina,21,6,5,0.1454510563637693,0.17337130651477395,0.13529411764705881,15663,1,2026-03-17T17:16:34.564Z
72597,2024-05-25T13:05:39.000Z,organico,instagram,v_5,manha,noite,40,medio,10k+,117,mais disciplina,13,7,5,0.2067366276849208,0.18800705467372134,0.23076923076923078,7794,1,2026-03-17T17:16:34.564Z
73348,2024-05-26T21:20:18.000Z,youtube_ads,google,v_130,tarde,manha,34,superior,ate_2k,60,ganhar confiança,21,1,5,0.1727831670993305,0.18696581196581197,0.18324607329842932,10486,0,2026-03-17T17:16:34.564Z
73827,2024-05-27T14:10:55.000Z,indicacao,indicacao,v_29,manha,tarde,41,superior,ate_2k,55,melhorar carreira,14,2,5,0.2438997722095672,0.1807145334720777,0.2683982683982684,8017,0,2026-03-17T17:16:34.564Z
74380,2024-05-28T11:22:43.000Z,organico,google,v_23,manha,tarde,43,superior,10k+,119,ganhar confiança,11,3,5,0.2067366276849208,0.1769041769041769,0.20470588235294118,7816,0,2026-03-17T17:16:34.564Z
79059,2024-06-07T14:24:47.000Z,instagram_ads,blog,v_41,tarde,manha,29,medio,5k_10k,137,mais disciplina,14,6,6,0.1454510563637693,0.17316473480857042,0.15357561547479484,15663,0,2026-03-17T17:16:34.564Z
86831,2024-06-22T11:49:46.000Z,instagram_ads,indicacao,v_53,tarde,tarde,44,superior,2k_5k,92,mudar de vida,11,7,6,0.1454510563637693,0.1776667855868712,0.1567251461988304,15656,0,2026-03-17T17:16:34.564Z
93658,2024-07-06T09:33:03.000Z,indicacao,tiktok,v_48,tarde,noite,35,tecnico,10k+,76,mudar de vida,9,7,7,0.2438997722095672,0.17436079545454544,0.21772151898734177,7812,0,2026-03-17T17:16:34.564Z
